Title,Year,Rating,Genre,Director,Cast,Plot,Runtime,Poster
The Shawshank Redemption,1994,9.3,"Epic, Period Drama, Prison Drama, Drama",Frank Darabont,"Stephen King, Frank Darabont, Tim Robbins",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
The Godfather,1972,9.2,"Epic, Gangster, Tragedy, Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola, Marlon Brando",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg"
The Dark Knight,2008,9.0,"Action Epic, Epic, Superhero, Action, Crime, Drama, Thriller",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
The Godfather Part II,1974,9.0,"Epic, Gangster, Tragedy, Crime, Drama",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo, Al Pacino",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNzcwZWUzOWItMjcyYi00OWUwLThmZjUtY2M0ZjhjMzJiNmM4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
12 Angry Men,1957,9.0,"Legal Drama, Psychological Drama, Crime, Drama",Sidney Lumet,"Reginald Rose, Henry Fonda, Lee J. Cobb",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg"
The Lord of the Rings: The Return of the King,2003,9.0,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword & Sorcery, Tragedy, Adventure, Drama",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Schindler's List,1993,9.0,"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Tragedy, Biography, Drama, History",Steven Spielberg,"Thomas Keneally, Steven Zaillian, Liam Neeson",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Pulp Fiction,1994,8.9,"Dark Comedy, Drug Crime, Gangster, Crime, Drama",Quentin Tarantino,"Quentin Tarantino, Roger Avary, John Travolta",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg"
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"The Good, the Bad and the Ugly",1966,8.8,"Adventure Epic, Dark Comedy, Desert Adventure, Epic, Period Drama, Quest, Spaghetti Western, Western Epic, Adventure, Drama",Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Forrest Gump,1994,8.8,"Epic, Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth, Tom Hanks",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg"
The Lord of the Rings: The Two Towers,2002,8.8,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg"
Fight Club,1999,8.8,"Psychological Drama, Workplace Drama, Drama",David Fincher,"Chuck Palahniuk, Jim Uhls, Brad Pitt",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Inception,2010,8.8,"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,"Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Globetrotting Adventure, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg"
The Matrix,1999,8.7,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi",Lana Wachowski,"Lilly Wachowski, Lilly Wachowski, Lana Wachowski",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
GoodFellas,1990,8.7,"Docudrama, Gangster, True Crime, Biography, Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese, Robert De Niro",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
One Flew Over the Cuckoo's Nest,1975,8.7,"Medical Drama, Psychological Drama, Drama",Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Interstellar,2014,8.7,"Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Matthew McConaughey",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Seven,1995,8.6,"Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller",David Fincher,"Andrew Kevin Walker, Morgan Freeman, Brad Pitt",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg"
It's a Wonderful Life,1946,8.6,"Feel-Good Romance, Holiday Family, Holiday Romance, Psychological Drama, Drama, Family, Fantasy, Holiday, Romance",Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg"
Seven Samurai,1954,8.6,"Action Epic, Epic, Period Drama, Samurai, Action, Drama",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg"
The Silence of the Lambs,1991,8.6,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris, Ted Tally, Jodie Foster",N/A,Your Ads Privacy Choices,"https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
